stockPrice,Sector,numberOfShares,cashAndCashEquivalents,shortTermInvestments,netReceivables,inventory,otherCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,longTermInvestments,otherNonCurrentAssets,accountPayables,shortTermDebt,longTermDebt,deferredRevenueNonCurrent,taxPayables,deferredRevenue,otherCurrentLiabilities,deferredTaxLiabilitiesNonCurrent,otherLiabilities,capitalLeaseObligations,preferredStock,commonStock,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,revenue,costOfRevenue,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,operatingExpenses,costAndExpenses,interestIncome,depreciationAndAmortization,operatingIncome,operatingIncomeRatio,ebitdaratio,incomeBeforeTaxRatio,netIncomeRatio,epsdiluted
131.08,8,61942969,1867100000,12724900000,11286200000,0,-22319200000,433000000,2343400000,2544500000,3862500000,31548800000,6345200000,0,2006900000,0,0,0,30286300000,0,0,0,2900000,1600000,411500000,-729600000,10072500000,0,0,6572600000,0,6572600000,9369000000,9518000000,0,110600000,125800000,0,0,0.07810374782824522,0.05505088111193845,0.037984611566145444,5.84
29.5166,4,7319000000,12130000000,0,22636000000,0,19995000000,154167000000,146241000000,157617000000,3695000000,35188000000,29640000000,11838000000,173113000000,0,1212000000,6124000000,20097000000,59502000000,0,23838000000,0,7621000000,5470000000,113194000000,181193000000,84141000000,0,0,0,39422000000,67639000000,151780000000,0,8422000000,28217000000,29413000000,0.16232967057226272,0.29821792232591765,0.10192446728074483,0.07673033726468462,1.89
113.89,7,117200000,24550000,0,230571000,136054000,66856000,11787669000,730706000,0,101883000,289330000,176581000,464915000,3529452000,12566000,135597000,54617000,377730000,1300015000,0,0,0,597000,-114583000,3712194000,2901848000,858837000,0,0,0,0,1296953000,2155790000,4160000,103153000,391456000,746058000,0.25709754611544094,0.39454788810440794,0.22410167589756597,0.17623459257686827,4.35
147.2,3,218900000,886000000,67600000,474300000,0,192100000,149700000,2450800000,280800000,0,162600000,101600000,0,2087700000,328100000,13200000,1763300000,423100000,79800000,0,0,0,2071500000,-135000000,0,2569800000,285900000,725000000,340100000,1183900000,1524000000,2267000000,2552900000,0,52100000,95200000,-25000000,-0.009728383531792357,0.04070355669701922,-0.016616079072301348,-0.0314421355747529,-0.37
1101.69,6,24966000,176300000,0,308995000,4319113000,224277000,4398751000,302645000,5616000,0,133355000,4864912000,56246000,5206344000,0,147669000,0,443314000,311980000,0,56246000,0,254000,-269322000,-139436000,11863743000,5498742000,0,0,0,4148864000,4148864000,9647606000,7396000,192200000,369957000,2216137000,0.1867991408782203,0.21860638754565065,0.1712219322350459,0.13631625364777372,63.43
209.7,10,139420111,39687000,0,0,0,287122000,124961000,0,0,165806000,18503475000,92135000,0,7296290000,61752000,0,0,536956000,0,0,140468000,0,1406000,-31503000,10736733000,2324626000,768106000,0,54230000,3812000,58042000,719620000,1487726000,0,203585000,661578000,836900000,0.360014901321761,0.7158742954780682,0.34375680216946725,0.33810772141411133,5.63
131.61,9,83366840,253700000,0,1212200000,663000000,211700000,1210700000,930800000,126500000,0,654800000,1066100000,440200000,1499300000,0,71400000,0,676100000,110300000,0,0,0,124100000,-348100000,-1551100000,7070100000,5166000000,0,0,0,1080400000,1080400000,6246400000,0,75800000,179000000,823700000,0.1165047170478494,0.07096080677783907,0.03528945842350179,0.04294140111172402,3.57
25.63,11,555000000,3249000000,0,6416000000,4608000000,949000000,6240000000,20690000000,5381000000,0,4882000000,4268000000,321000000,6301000000,0,0,2870000000,2555000000,51000000,0,0,0,0,-1636000000,23565000000,23838000000,19406000000,0,0,0,2832000000,2832000000,22238000000,0,237000000,1418000000,1600000000,0.06711972480912828,0.09501636043292222,0.031588220488296,0.005369577984730263,0.23
64.669998,9,331102000,1798000000,0,1631000000,1274000000,181000000,4709000000,4419000000,2002000000,291000000,814000000,3136000000,1538000000,6518000000,0,0,0,903000000,561000000,0,239000000,0,1178000000,-910000000,-3122000000,11474000000,9203000000,0,0,0,417000000,1095000000,10298000000,0,317000000,678000000,1176000000,0.10249259194701063,0.1422346173958515,0.05298936726512114,0.049328917552727905,1.66
35.22,8,9390500000,168667000000,245639000000,75658000000,0,0,10561000000,68951000000,0,611077000000,0,0,24204000000,240856000000,0,0,0,0,0,2169269000000,0,23401000000,91723000000,-6633000000,0,91244000000,0,0,37373000000,4696000000,42069000000,0,0,71236000000,22345000000,1729000000,0,0,0.6228135548638815,0.3589715488141686,0.3006225066853711,2.75
22.506063,6,276163000,1413000000,0,367000000,1248000000,232000000,2818000000,1348000000,411000000,0,191000000,711000000,72000000,5739000000,0,199000000,316000000,688000000,226000000,0,0,0,141000000,59000000,413000000,13237000000,8338000000,0,3563000000,0,3563000000,3563000000,11901000000,0,385000000,590000000,1237000000,0.09345017753267357,0.13839993956334518,0.0647427664878749,0.048651507139079855,-1.33
83.62,2,509000000,3335000000,0,1896000000,1653000000,619000000,5120000000,3030000000,1471000000,76000000,372000000,892000000,642000000,4809000000,52000000,198000000,0,1498000000,192000000,0,611000000,0,683000000,-3710000000,-4809000000,11362000000,6601000000,595000000,3290000000,0,3290000000,3885000000,10486000000,40000000,111000000,789000000,1772000000,0.15595845801795458,0.1637035733145573,0.08537229361027988,0.08810068649885583,1.93
252.96,2,269943000,536000000,30000000,2345000000,2579000000,1174000000,5659000000,23376000000,14977000000,0,1088000000,1092000000,1309000000,18081000000,0,140000000,0,3114000000,5676000000,0,0,2000000,347000000,-2283000000,10103000000,17290000000,9002000000,1062000000,2000000,4332000000,4334000000,6050000000,15052000000,12000000,639000000,2253000000,1760000000,0.10179294389820706,0.2352805089647195,0.0680161943319838,0.0713128976286871,3.89
46.0667,8,286083000,1023710000,480620000,4567810000,0,0,422091000,169652000,0,15062390000,0,360314000,0,2626279000,0,0,0,0,17706000,20525086000,0,0,70535000,-257299000,-1670669000,7932911000,0,0,0,0,0,0,7079991000,0,153409000,113387000,0,0,0.14089090373004312,0.1075166480501294,0.08596390404480776,2.346667
58.47,6,276400000,1980000000,0,1015000000,5409000000,466000000,2510000000,915000000,18000000,0,588000000,5257000000,56000000,1332000000,11000000,0,446000000,1754000000,273000000,0,0,0,27000000,294000000,0,42879000000,32918000000,0,7990000000,0,8015000000,8061000000,40979000000,0,73000000,770000000,1900000000,0.04431073485855547,0.06369085099932367,0.04403087758576459,0.03414258728048695,5.2
370.03,2,29843000,660672000,453973000,392672000,554007000,118831000,701207000,224100000,145300000,4638205000,79636000,107014000,461537000,13579000,0,36285000,33735000,266924000,997787000,0,211383000,0,3000,-87348000,371623000,2311659000,1054663000,202710000,824625000,0,824625000,1027335000,2081998000,30500000,23416000,134200000,229661000,0.09934899567799577,1.0463035421746893,0.9781204753815333,0.7607847870295749,58.27
