Symbol;Year;stockPrice;Sector;numberOfShares;cashAndCashEquivalents;shortTermInvestments;netReceivables;inventory;otherCurrentAssets;propertyPlantEquipmentNet;goodwill;intangibleAssets;longTermInvestments;otherNonCurrentAssets;accountPayables;shortTermDebt;longTermDebt;deferredRevenueNonCurrent;taxPayables;deferredRevenue;otherCurrentLiabilities;deferredTaxLiabilitiesNonCurrent;otherLiabilities;capitalLeaseObligations;preferredStock;commonStock;accumulatedOtherComprehensiveIncomeLoss;othertotalStockholdersEquity;revenue;costOfRevenue;researchAndDevelopmentExpenses;generalAndAdministrativeExpenses;sellingAndMarketingExpenses;sellingGeneralAndAdministrativeExpenses;operatingExpenses;costAndExpenses;interestIncome;depreciationAndAmortization;operatingIncome;operatingIncomeRatio;ebitdaratio;incomeBeforeTaxRatio;netIncomeRatio;epsdiluted;Column1
ABT;2012;31,4268;2;1576667492;10802163000;4371821000;7612860000;3792313000;4743426000;8063047000;15774127000;8588285000;273595000;0;1796990000;2390662000;18085302000;0;655424000;0;8437100000;710000000;0;0;0;11754552000;-3593678000;-5590909000;39873910000;15119718000;4322182000;12059495000;0;12059495000;16381677000;31501395000;79225000;592403000;2783207000;8084515000;0,202752;0,241717554;0,157060444;0,149544401;3,72
ABBV;2018;92,19;2;1478824398;7289000000;772000000;5384000000;1605000000;1895000000;2883000000;15663000000;21233000000;1420000000;1208000000;1546000000;5308000000;35002000000;0;0;0;10385000000;1067000000;0;0;0;18000000;-2480000000;-9352000000;32753000000;7718000000;10753000000;7399000000;0;7399000000;18652000000;26370000000;204000000;1348000000;1765000000;6383000000;0,194882911;0,253717217;0,158672488;0,17363295;3,66
ABBV;2017;96,71;2;1592131025;9303000000;486000000;5088000000;1605000000;4741000000;2803000000;15785000000;27559000000;2090000000;1326000000;1474000000;6415000000;30953000000;0;0;0;8752000000;2490000000;0;0;0;18000000;-2727000000;2347000000;28216000000;7040000000;5309000000;6275000000;0;6275000000;11584000000;18624000000;146000000;1150000000;1501000000;9592000000;0,339948965;0,3678055;0,273851715;0,188155656;3,3
ABBV;2016;62,62;2;1592512724;5100000000;1323000000;4758000000;1444000000;3562000000;2604000000;15416000000;28897000000;1783000000;1212000000;1407000000;402000000;36440000000;0;0;0;7972000000;6890000000;0;0;0;18000000;-2586000000;2826000000;25638000000;5833000000;4566000000;5855000000;0;5855000000;10421000000;16254000000;82000000;1047000000;1189000000;9384000000;0,36601919;0,394726578;0,307512286;0,232194399;3,63
ABBV;2015;59,24;2;1609892935;8399000000;8000000;4730000000;1719000000;1458000000;2565000000;13168000000;19709000000;145000000;1149000000;1597000000;2431000000;29240000000;0;0;0;6866000000;5276000000;0;0;0;17000000;-2561000000;4241000000;22859000000;4500000000;4435000000;6387000000;0;6387000000;10822000000;15322000000;33000000;719000000;836000000;7537000000;0,32971696;0,358720854;0,290695131;0,225031716;3,13
ABBV;2014;65,44;2;1591389331;8348000000;26000000;4291000000;1124000000;2299000000;2485000000;5862000000;1513000000;92000000;1507000000;881000000;4446000000;10565000000;0;0;0;6073000000;630000000;0;0;0;16000000;-2031000000;3222000000;19960000000;4426000000;3649000000;7724000000;0;7724000000;12123000000;16549000000;38000000;429000000;786000000;3411000000;0,170891784;0,179559118;0,118687375;0,088877756;1,1
ABBV;2013;52,81;2;1587360562;9595000000;300000000;4803000000;1150000000;2000000000;2298000000;6277000000;1890000000;118000000;767000000;933000000;431000000;14292000000;0;0;0;5515000000;570000000;0;0;0;16000000;-442000000;3351000000;18790000000;4581000000;3193000000;5352000000;0;5352000000;8545000000;13126000000;21000000;299000000;897000000;5664000000;0,301436935;0,34741884;0,283767962;0,219691325;2,56
ABBV;2012;35,12;2;1577000000;5901000000;2075000000;4298000000;1091000000;1989000000;2247000000;6130000000;2323000000;119000000;835000000;556000000;1042000000;14630000000;0;0;0;5178000000;360000000;0;0;0;3713000000;-350000000;0;18380000000;4508000000;3066000000;4989000000;0;4989000000;8055000000;12563000000;20000000;104000000;1150000000;5817000000;0,31648531;0,379706202;0,311479869;0,286996736;3,35
ACN;2018;169,070007;3;628451742;5061360000;3192000;7496368000;0;1024639000;1264020000;5383012000;687110000;215532000;1227043000;1348802000;5337000;19676000;618124000;497885000;2837682000;5462045000;125729000;0;0;0;72000;-1576171000;3988439000;41603428000;29160515000;0;2403315000;4198557000;6601872000;6601872000;35762387000;56337000;19539000;926776000;5841041000;0,14039807;0,158634067;0,139606116;0,097585877;6,34
ACN;2017;130,759995;3;620104250;4126860000;3011000;6885257000;0;1082161000;1140598000;5002352000;710382000;211610000;1312758000;1525065000;2907000;22163000;663248000;1091876000;2669520000;4534911000;137098000;0;0;0;71000;-1094784000;2962335000;36765478000;25734986000;0;2643570000;3754313000;6397883000;6397883000;32132869000;37940000;15545000;801789000;4632609000;0,126004319;0,142622462;0,125553434;0,093706085;5,44
